	read_name	read_seq	umi_seq	umi_start	umi_end	cigar	potential_concatamer
b2fee469-d0dd-404a-8f70-ad6ccdf0fb7d	4	*	*	0	16	*	False
95b5ab60-9f9f-4b76-8840-87190f886fa4	20	*	*	0	16	*	False
6bed4878-7ef5-4ba6-ae37-6ef4d6728789	20	*	*	0	16	*	False
59066ff8-72be-4c65-93dd-671ff77f34a5	4	*	*	0	16	*	False
fbe9b44b-b463-4e8d-8d8c-750e90a8413c	4	*	*	0	16	*	False
632f0477-9206-4643-8e64-2554d071e3a5	20	*	*	0	16	*	False
e97f4d65-76a6-480f-a03f-587db3a29f21	4	*	*	0	16	*	False
21348997-2f42-43d1-8668-c4a4917d763f	20	*	*	0	16	*	False
12d015dd-c123-4e06-a35c-15bbac872649	4	*	*	0	16	*	False
2a5f6ad7-06e0-4a95-a6f2-f52a649a4dcb	4	*	*	0	16	*	False
f4889d9d-5ae8-41ca-a92b-5ae4b10d8911	20	*	*	0	16	*	False
309ba7a7-7f51-4eef-a941-32ecd0e735e6	20	*	*	0	16	*	False
dcf61eee-3325-492a-b147-a07fa44ffcc2	20	*	*	0	16	*	False
f5a2acff-8453-4f70-adbe-9067205fd6cd	4	*	*	0	16	*	False
916810c5-57c7-4595-b32c-9cd13bb06789	4	*	*	0	16	*	False
445651c7-ffda-467f-afa6-4af2a761a885	4	*	*	0	16	*	False
56efccd9-cc81-4c94-af96-c30cdac0d8eb	20	*	*	0	16	*	False
be1177b9-954b-4c74-ac3c-bc12eae9abc8	4	*	*	0	16	*	False
a2ac5d70-be60-4e29-9066-b8ddf4dd7301	4	*	*	0	16	*	False
a2709dff-960b-4f2a-8f29-5307da3a791b	20	*	*	0	16	*	False
fe1fd37a-a11a-47f6-897e-46864ffcb660	4	*	*	0	16	*	False
980ca8b3-bdaa-43a9-835b-1d7f3630efbc	4	*	*	0	16	*	False
7efca33b-33df-43fd-b89b-e5f95ff384fd	4	*	*	0	16	*	False
3e8b6269-f3b1-4242-9917-e9ba6f442ed5	4	*	*	0	16	*	False
211c4eb0-6d12-4434-b673-60b039eb26a9	4	*	*	0	16	*	False
61b8d9ed-911e-406a-b400-a3cf3cf2fa2f	20	*	*	0	16	*	False
ae6a6d1b-1c84-4f30-b85e-e77648db58ff	20	*	*	0	16	*	False
5913da33-aa5a-4ab1-9b8f-1a41ead6d995	20	*	*	0	16	*	False
a3b6cc52-67f2-40b9-92dd-89051d1c70d7	4	*	*	0	16	*	False
566c60eb-553b-4d3d-9b88-f02a4814f328	20	*	*	0	16	*	False
430afbbe-508f-4842-958c-d6d79b124950	4	*	*	0	16	*	False
08741ce5-f5da-4528-9951-81fe2ad6204f	20	*	*	0	16	*	False
0af5ca29-4ce9-45d1-8d5b-041ad8c23305	4	*	*	0	16	*	False
06fc519a-1ce8-4df6-8ce5-277a0b18e748	20	*	*	0	16	*	False
a9ba5a65-1b95-427b-9bc0-3cb8415de72b	4	*	*	0	16	*	False
c82f99ad-b69e-4708-a567-89d3847995c4	20	*	*	0	16	*	False
b1eb32a5-1908-4df3-a75f-c7f120b2ffe0	4	*	*	0	16	*	False
1ae0b9f5-75d1-4fc2-bb46-a532691d3cb5	20	*	*	0	16	*	False
a44babf1-b973-4b85-8c21-d93e1664e749	4	*	*	0	16	*	False
882a8cdd-c5e2-4dd9-8947-9867ef727a54	4	*	*	0	16	*	False
b052e4ab-ac3d-48c4-9250-47fb37a39ad4	4	*	*	0	16	*	False
e519fbe7-0124-4098-b914-c9e685404af0	20	*	*	0	16	*	False
eeaff97b-b87d-4695-987d-774604f3b881	4	*	*	0	16	*	False
01b1c488-399c-4637-b6ff-00493ed7cb0c	4	*	*	0	16	*	False
e4f829f9-2874-4916-a2ab-35ef7ae532f4	4	*	*	0	16	*	False
ecbfc57b-5582-4b5d-9564-ebb80e65aec1	4	*	*	0	16	*	False
9107c3c5-19fb-4cca-916c-0270dfd967f7	20	*	*	0	16	*	False
41dcce5f-a877-4c56-b414-89cea56d9415	4	*	*	0	16	*	False
7d9ba387-602c-4c86-a8ba-c1e19679bcce	20	*	*	0	16	*	False
abb1b462-a71a-4f0d-96f8-81714853c3fc	4	*	*	0	16	*	False
ecbc6896-7daa-43d4-8623-cd9152f732da	20	*	*	0	16	*	False
b6a3098a-7514-4297-922a-5a8fb8fac239	20	*	*	0	16	*	False
73ecae34-ae93-4023-96de-ba11725b4439	20	*	*	0	16	*	False
2cb969d1-c05a-4710-91a7-6164213de5f0	20	*	*	0	16	*	False
161b3b24-a672-4136-a5c5-0e00b3bb4a4b	20	*	*	0	16	*	False
5341308a-9517-44f0-b3da-24f0b84545f4	4	*	*	0	16	*	False
8da024e9-d041-4c52-8b9b-c8481259f246	20	*	*	0	16	*	False
455f4f75-13f3-4741-a580-b9454c430c81	4	*	*	0	16	*	False
ffb6c330-2172-4a30-be5e-16a15b88dde8	4	*	*	0	16	*	False
0f42aa93-546c-4a11-afd5-255f5c82f621	4	*	*	0	16	*	False
1ef0e894-6684-4793-ade7-5c99a4223c75	4	*	*	0	16	*	False
0c803472-c9b1-4c15-a554-7dd54da3253e	20	*	*	0	16	*	False
c556797e-6b9c-489e-b727-2625089487a5	4	*	*	0	16	*	False
6e5f826b-3538-42bb-af9b-19a18ea69648	4	*	*	0	16	*	False
b6933626-f453-487b-946d-030220861f81	4	*	*	0	16	*	False
a52ff94c-4805-4d02-8c37-b4cb0d37ac6d	4	*	*	0	16	*	False
e81daacb-a599-4006-bae5-b83df1a6c709	20	*	*	0	16	*	False
8ad37599-63e9-4069-9241-218026c5a1ec	4	*	*	0	16	*	False
e038aec9-6ab4-4466-858d-16689107b162	4	*	*	0	16	*	False
8e33503f-7cd2-460c-8174-606272b20282	4	*	*	0	16	*	False
5a1bac72-2deb-497b-a7d7-18cb9367031f	20	*	*	0	16	*	False
794a720e-23ed-46d9-aa1c-82e1a7262529	4	*	*	0	16	*	False
5351aaa3-990f-5b61-b5b5-ba0eaec48760	4	*	*	0	16	*	False
485b81b6-2252-48dd-a96f-05c84e64f6cb	20	*	*	0	16	*	False
fb9065e6-6528-4df6-babb-b72006706a64	20	*	*	0	16	*	False
1e24e231-defd-4bd5-b183-7788d67256b9	4	*	*	0	16	*	False
f7602e3c-7fa2-5b8d-85fb-6d4866fea677	20	*	*	0	16	*	False
14575507-f7c7-5318-ba77-88cecac32a64	20	*	*	0	16	*	False
bcfd9144-5497-5eef-9be8-1d524165ca95	4	*	*	0	16	*	False
63a3107c-d8f9-5941-a463-f4fa4389becb	4	*	*	0	16	*	False
150fb9bb-217e-5cef-b308-18268f296566	20	*	*	0	16	*	False
7e17071c-bf96-5d56-a90c-30720f27ee7c	4	*	*	0	16	*	False
bb57d772-3ce7-4605-a0e8-4ea2bf8185df	20	*	*	0	16	*	False
16393ae6-ecf2-45c7-b8ff-11659aceccac	20	*	*	0	16	*	False
cb2f2db7-2a70-4b63-bc1d-f02798dd9276	20	*	*	0	16	*	False
77913c44-4ef2-4eed-9582-92d9ae73a1f2	4	*	*	0	16	*	False
733ff835-dd34-4c9c-9740-2792b81957f7	4	*	*	0	16	*	False
4b367540-6582-438b-8bf9-262de350a0f6	4	*	*	0	16	*	False
fe4c5e92-f5c4-4a27-ba7a-b03117830b0e	4	*	*	0	16	*	False
7d2e6afe-7b37-447b-9fde-d0b7df192107	4	*	*	0	16	*	False
9e783352-059a-4c7a-a636-88486e1cfdf5	20	*	*	0	16	*	False
2a6c13c6-3b80-47d3-b9c1-4fe7bc52ae6c	4	*	*	0	16	*	False
513fc566-6c58-47da-b8bf-2a4332011f77	4	*	*	0	16	*	False
64e48ce4-161d-4cda-82b0-ee7d144425df	4	*	*	0	16	*	False
4c83a949-2ba7-46c4-a1c7-255b6ff84d93	4	*	*	0	16	*	False
faad64ff-a681-41ad-87f4-cab19aff6e6c	20	*	*	0	16	*	False
5138f7d7-97f5-4fb2-bb57-b78f9327484d	20	*	*	0	16	*	False
54ba8d76-e02a-49a5-89c7-dc20b17d4a1a	4	*	*	0	16	*	False
9f951afd-212f-437f-ab22-bd0b634bc595	4	*	*	0	16	*	False
34286e1d-181a-4297-8533-4944ca73d7a8	4	*	*	0	16	*	False
4419bd95-09e4-4149-91fe-0e0bf003fc7f	4	*	*	0	16	*	False
a10898b7-7446-414f-9f07-3e6863720258	20	*	*	0	16	*	False
2d717452-595a-4337-ae91-783819e35f8b	4	*	*	0	16	*	False
cc8d85ef-feec-47b0-bc5d-9e10ed0890fd	4	*	*	0	16	*	False
6e6c2e52-5f4d-4a1e-8946-71aff8c2ad73	20	*	*	0	16	*	False
3a7b77a4-275c-494a-b879-30b66dd1ff27	4	*	*	0	16	*	False
d8651c8a-334a-4203-88f5-f54cec0eee02	20	*	*	0	16	*	False
db94b406-9a2e-423a-af26-6ab9524af096	20	*	*	0	16	*	False
418fe26f-72e9-4e19-9fa1-b650aa22992f	4	*	*	0	16	*	False
ea279851-c56a-4acd-9a83-43f71508e3b2	4	*	*	0	16	*	False
b983615b-2769-4485-9e33-f9746d83c8be	4	*	*	0	16	*	False
a78ec3d7-eba9-4cf7-9a82-48f71380ac9e	20	*	*	0	16	*	False
f9ef7c2e-c52b-457e-a838-540ed71fd6fd	4	*	*	0	16	*	False
251f22fb-e9d0-4eaf-86b2-8bdb28c26887	20	*	*	0	16	*	False
ab65a93d-5d34-4f6d-a9fd-c07d359d91b5	4	*	*	0	16	*	False
734971a3-add0-4122-9c04-25343af187f7	4	*	*	0	16	*	False
34908570-261e-46f2-be92-042ebe44d8c8	4	*	*	0	16	*	False
e908132e-aca7-453f-853f-c76cd79d5dbc	4	*	*	0	16	*	False
b730ba36-5979-4d09-9bf3-c54387eaba6b	20	*	*	0	16	*	False
19c878d6-e1b9-4e74-a9de-78dd8bc5163f	4	*	*	0	16	*	False
c8a679b5-993a-4220-afd4-8448667c5448	4	*	*	0	16	*	False
030e1469-c4c9-45bb-b34a-b88e39506357	20	*	*	0	16	*	False
65e68ee6-9599-47cb-b9bd-329e8b185979	4	*	*	0	16	*	False
ff2a8db2-4630-4952-b60a-22d0ffd97d6e	4	*	*	0	16	*	False
7a4221ed-c341-4e74-984f-e880a45c9b9e	4	*	*	0	16	*	False
e52ed886-b821-4b62-804d-ab629055ac31	4	*	*	0	16	*	False
0a3a3b95-985a-4584-a352-8952c916b3df	4	*	*	0	16	*	False
6d20a24c-f329-4375-ad2d-97de2daef34f	20	*	*	0	16	*	False
b24d34d9-0bbb-49db-ba8d-bd0e4d15a34a	20	*	*	0	16	*	False
1786e028-5145-4ef5-8a3e-7a91f0f83d40	4	*	*	0	16	*	False
bdc38a1f-e918-4f21-95b8-752e6fd4b41d	20	*	*	0	16	*	False
d1bfa38f-a323-4e65-acd2-9cc223ed1cc1	4	*	*	0	16	*	False
a0d9d9fd-3784-4768-a147-f3408e79a26b	4	*	*	0	16	*	False
b9d096c1-d328-4319-acca-72315fa3f845	4	*	*	0	16	*	False
e1ad2dcb-c47b-4aab-8bb8-c89eb9b06e45	20	*	*	0	16	*	False
edf718b1-cb19-4925-b329-7affbd6d49a7	4	*	*	0	16	*	False
692978af-24ce-4f08-91f4-94822777516c	4	*	*	0	16	*	False
1914e246-2810-4c1d-aa03-c77aa7aab8aa	4	*	*	0	16	*	False
0a12294a-9652-4415-9542-beba37308f70	4	*	*	0	16	*	False
ab817992-b55d-4f48-8043-f222dfcf1304	4	*	*	0	16	*	False
a52c387d-5b41-41d2-a08a-a3651c392e34	20	*	*	0	16	*	False
95650c5d-60ec-4842-8c95-7c3747aef48a	4	*	*	0	16	*	False
7f936486-b634-49f3-99f2-512d1208047c	4	*	*	0	16	*	False
126f85cd-585e-4513-a3a5-7dd79e48db38	20	*	*	0	16	*	False
a67a6d82-a9f1-4a58-98f7-776dcbc1d8ef	20	*	*	0	16	*	False
062a6358-bec6-4308-bad2-7c1f931232c4	20	*	*	0	16	*	False
c93b9c28-7718-4fc8-b3fa-b8c32c56761e	20	*	*	0	16	*	False
d37844f2-0072-4ae0-8dd0-b546d0827a29	4	*	*	0	16	*	False
d463b89c-5803-4da9-a8ff-8579831fc1c9	20	*	*	0	16	*	False
7b44ccac-b20f-4940-b3ff-121714d676ec	20	*	*	0	16	*	False
6b8bc7cf-6e76-4502-af06-e0e4183f5e96	20	*	*	0	16	*	False
977dff64-05eb-4ca0-a10b-bb5bde0212f8	4	*	*	0	16	*	False
fd18d24c-4a29-40ac-bfcc-a2670c484aef	4	*	*	0	16	*	False
55529ed7-012c-4174-ab6c-c5c1be4e0f59	4	*	*	0	16	*	False
8da2dad1-c30e-443e-9806-696c8bcff487	20	*	*	0	16	*	False
89e9ff63-b519-475e-bd8d-18a52f5369e1	4	*	*	0	16	*	False
17d5ac06-1bd9-4278-bd73-06fdd42618b5	4	*	*	0	16	*	False
67a1603d-3078-4ba3-a93e-88f077ebb83d	20	*	*	0	16	*	False
6cbd950c-e3ed-412c-a56d-96b93c83af43	4	*	*	0	16	*	False
befa45b2-2630-481a-9706-15376c1eedc6	20	*	*	0	16	*	False
f7dd1340-8b6f-4009-8ded-b90ce51c172c	20	*	*	0	16	*	False
abeb31a7-e64e-4edc-98bc-e8a080043e77	4	*	*	0	16	*	False
efda79e7-0904-4d67-8b89-e38417029ff3	20	*	*	0	16	*	False
ef974dfc-0a93-466b-853e-9b0d9b312bbd	4	*	*	0	16	*	False
